String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.eligibility.question/age.are_you_age_35,"Are you age 35+?",,,,,,,,,,,,"¿Tienes más de 35 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/long_term_care_resident.are_you,"Are you enrolled in a Medicaid long-term care program?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.is,"Are you 16+ and is your zip code covered by the Hard-Hit Community Vaccination Strategy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.are_you,"Are you an English language learner or a member of an immigrant/refugee community?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.do,"Do you live in a Black, Indigenous and people of color (BIPOC) household?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_currently_hospitalized,"Are you currently hospitalized and diagnosed with a high-risk medical condition?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/housing.are_you_currently,"Are you currently living in a transient housing facility?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_age_30,"Are you age 30+?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a_nevada,"Are you a Nevada System of Higher Education (NSHE) frontline educator or staff?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_currently_receiving,"Are you currently receiving hospital-based treatment and diagnosed with a high-risk medical condition?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.are_you_a,"Are you a member of a disproportionately impacted population (especially a racial/ethnic minority group) at increased risk of acquiring or transmitting COVID-19?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_aged,"Are you aged 16+ with disabilities and receiving SSI or SSDI benefits?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_receiving,"Are you receiving long term services and supports through the state's Medicaid waiver or state plan services?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_homebound,"Are you homebound or otherwise unable to leave your home to get to a vaccination site, even with assistance?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_classified,"Are you classified as a frontline worker or are you age 16+ and live in the same household as someone classified as a frontline worker?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_a_person_aged,"Are you a person aged 16+ with intellectual and developmental disabilities?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_age_35,"Are you age 35+, and have a high-risk medical condition?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_20,"Are you 20+?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
